data_key,urut_nasional,urut_provinsi,rerata,npsn,sekolah,provinsi,kota_kab,jenis
2201,201,34,"549,946",69859366,SMKN JATENG DI SEMARANG More..,Jawa Tengah,Kota Semarang,SMK
2202,202,6,"549,634",10304887,SMA NEGERI AGAM CENDEKIA More..,Sumatera Barat,Kab. Agam,SMA
2203,203,3,"549,499",10507942,MAN INSAN CENDEKIA JAMBI More..,Jambi,Kab. Muaro Jambi,MA 
2204,204,28,"549,435",20533635,SMAS KATOLIK ST ALBERTUS More..,Jawa Timur,Kota Malang,SMA
2205,205,4,"549,407",10404019,SMA NEGERI 8 PEKANBARU More..,Riau,Kota Pekanbaru,SMA
2206,206,3,"549,272",10648016,SMAN SUMATERA SELATAN More..,Sumatera Selatan,Kota Palembang,SMA
2207,207,4,"549,163",10609704,SMA XAVERIUS 01 PALEMBANG More..,Sumatera Selatan,Kota Palembang,SMA
2208,208,7,"549,02",10307523,SMAN 1 BUKITTINGGI More..,Sumatera Barat,Kota Bukittinggi,SMA
2209,209,35,"548,896",20300617,SMA NEGERI 1 CILACAP More..,Jawa Tengah,Kab. Cilacap,SMA
2210,210,21,"548,874",20409906,SMA KESATUAN BANGSA More..,DI Yogyakarta,Kab. Bantul,SMA
2211,211,33,"548,865",20277085,MAS ZAKARIA More..,Jawa Barat,Kota Bandung,MA 
2212,212,22,"548,767",20403375,MAN 1 YOGYAKARTA More..,DI Yogyakarta,Kota Yogyakarta,MA 
2213,213,29,"548,767",69727602,SMAS AL-IZZAH BATU More..,Jawa Timur,Kota Batu,SMA
2214,214,34,"548,662",20229157,SMAS ISLAM TERPADU NURUL FIKRI More..,Jawa Barat,Kota Depok,SMA
2215,215,35,"548,41",20219791,SMAS YAHYA More..,Jawa Barat,Kota Bandung,SMA
2216,216,48,"548,344",20101620,SMAN 33 JAKARTA More..,DKI Jakarta,Kota Jakarta Barat,SMA
2217,217,36,"548,306",20329847,SMAN 1 TEGAL More..,Jawa Tengah,Kota Tegal,SMA
2218,218,36,"548,295",20224139,SMA NEGERI 2 CIMAHI More..,Jawa Barat,Kota Cimahi,SMA
2219,219,37,"548,226",20311334,SMAN 1 WONOGIRI More..,Jawa Tengah,Kab. Wonogiri,SMA
2220,220,49,"548,186",20107249,SMAS BUDI MULIA JAKARTA More..,DKI Jakarta,Kota Jakarta Pusat,SMA
2221,221,23,"548,058",20401127,SMAN 1 PAKEM More..,DI Yogyakarta,Kab. Sleman,SMA
2222,222,37,"547,96",20218351,SMAN 1 TAMBUN SELATAN More..,Jawa Barat,Kab. Bekasi,SMA
2223,223,50,"547,554",20103203,SMAS DON BOSCO 2 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2224,224,38,"547,523",20309689,SMAN 2 KLATEN More..,Jawa Tengah,Kab. Klaten,SMA
2225,225,39,"547,414",20307641,SMAS TARUNA NUSANTARA More..,Jawa Tengah,Kab. Magelang,SMA
2226,226,51,"547,314",20103278,SMAN 91 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2227,227,30,"547,075",20533653,SMAN 5 More..,Jawa Timur,Kota Malang,SMA
2228,228,7,"546,966",69762788,SMAN 3 TARUTUNG More..,Sumatera Utara,Kab. Tapanuli Utara,SMA
2229,229,40,"546,897",20330281,SMAN 1 GOMBONG More..,Jawa Tengah,Kab. Kebumen,SMA
2230,230,31,"546,836",20525854,SMAN 1 GENTENG More..,Jawa Timur,Kab. Banyuwangi,SMA
2231,231,41,"546,835",20354028,SMAN 1 SRAGEN More..,Jawa Tengah,Kab. Sragen,SMA
2232,232,52,"546,783",20103292,SMAN 103 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2233,233,2,"546,756",30105064,SMAS KRISTEN IMMANUEL More..,Kalimantan Barat,Kota Pontianak,SMA
2234,234,42,"546,723",20328925,SMA KRISTEN YSKI More..,Jawa Tengah,Kota Semarang,SMA
2235,235,38,"546,709",20229172,SMAS PRIBADI BEJI More..,Jawa Barat,Kota Depok,SMA
2236,236,53,"546,622",20102563,SMAN 90 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2237,237,3,"546,608",11002197,SMAN 3 BATAM More..,Kepulauan Riau,Kota Batam,SMA
2238,238,39,"546,12",20219312,SMAN 4 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
2239,239,4,"545,937",10506129,SMAS BINA KASIH More..,Jambi,Kota Jambi,SMA
2240,240,16,"545,907",20607991,SMA ISLAM NURUL FIKRI More..,Banten,Kab. Serang,SMA
2241,241,17,"545,664",20616138,SMAS TARAKANITA CITRA RAYA More..,Banten,Kab. Tangerang,SMA
2242,242,43,"545,567",20363082,MAN 2 KUDUS More..,Jawa Tengah,Kab. Kudus,MA 
2243,243,40,"545,552",20238517,SMAN 5 BOGOR More..,Jawa Barat,Kota Bogor,SMA
2244,244,54,"545,484",20103304,SMAN 67 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2245,245,5,"545,464",10502884,SMAN TITIAN TERAS More..,Jambi,Kab. Muaro Jambi,SMA
2246,246,41,"545,398",20253836,SMAS PRIBADI More..,Jawa Barat,Kota Bandung,SMA
2247,247,55,"545,383",20107277,SMAS AL IZHAR JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2248,248,44,"545,211",20321439,SMA NEGERI 2 TEMANGGUNG More..,Jawa Tengah,Kab. Temanggung,SMA
2249,249,32,"545,165",20515430,SMAN 1 KEDUNGWARU More..,Jawa Timur,Kab. Tulungagung,SMA
2250,250,56,"544,969",20102231,SMAK TIRTAMARTA - BPK PENABUR More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2251,251,18,"544,85",20614004,SMAS MENTARI INTERCULTURAL SCHOOL BINTARO More..,Banten,Kota Tangerang Selatan,SMA
2252,252,33,"544,848",20538326,SMAN 2 NGANJUK More..,Jawa Timur,Kab. Nganjuk,SMA
2253,253,45,"544,841",20303987,SMAN 1 BANJARNEGARA More..,Jawa Tengah,Kab. Banjarnegara,SMA
2254,254,46,"544,752",20309680,SMAN 1 KARANGANOM More..,Jawa Tengah,Kab. Klaten,SMA
2255,255,3,"544,621",50103149,SMAS TAMAN RAMA More..,Bali,Kota Denpasar,SMA
2256,256,19,"544,551",20615183,SMAS KHARISMA BANGSA More..,Banten,Kota Tangerang Selatan,SMA
2257,257,8,"544,52",10263742,MAS PERGURUAN ISLAM AR RISALAH More..,Sumatera Barat,Kota Padang,MA 
2258,258,42,"544,478",20222365,SMAN 2 CIREBON More..,Jawa Barat,Kota Cirebon,SMA
2259,259,43,"544,441",20223045,SMAN 4 BEKASI More..,Jawa Barat,Kota Bekasi,SMA
2260,260,44,"544,425",20238516,SMAN 2 BOGOR More..,Jawa Barat,Kota Bogor,SMA
2261,261,45,"544,079",20223817,SMAN 3 KOTA DEPOK More..,Jawa Barat,Kota Depok,SMA
2262,262,24,"543,976",20400391,SMA NEGERI 1 JETIS More..,DI Yogyakarta,Kab. Bantul,SMA
2263,263,57,"543,928",20103306,SMAN 62 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2264,264,4,"543,902",50103125,SMAN 3 DENPASAR More..,Bali,Kota Denpasar,SMA
2265,265,5,"543,901",10609651,SMA KUSUMA BANGSA PALEMBANG More..,Sumatera Selatan,Kota Palembang,SMA
2266,266,58,"543,884",20100216,SMAN 1 JAKARTA More..,DKI Jakarta,Kota Jakarta Pusat,SMA
2267,267,46,"543,772",69775444,SMAS IT UMMUL QURO More..,Jawa Barat,Kota Bogor,SMA
2268,268,9,"543,346",10307799,SMAN 3 BATU SANGKAR More..,Sumatera Barat,Kab. Tanah Datar,SMA
2269,269,1,"543,16",40320336,SMAS ZION More..,Sulawesi Selatan,Kota Makassar,SMA
2270,270,34,"543,087",20517739,SMAN 1 LAWANG More..,Jawa Timur,Kab. Malang,SMA
2271,271,47,"543,052",20341554,SMAS IT NURHIDAYAH More..,Jawa Tengah,Kab. Sukoharjo,SMA
2272,272,59,"542,846",20102575,SMAN 55 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2273,273,2,"542,757",69976494,MAN INSAN CENDEKIA TANAH LAUT More..,Kalimantan Selatan,Kab. Tanah Laut ,MA 
2274,274,35,"542,618",20517730,SMAN 1 KEPANJEN More..,Jawa Timur,Kab. Malang,SMA
2275,275,25,"542,576",20402137,SMAN 2 WONOSARI More..,DI Yogyakarta,Kab. Gunung Kidul,SMA
2276,276,8,"542,501",10210923,SMAS SANTO THOMAS 1 MEDAN More..,Sumatera Utara,Kota Medan,SMA
2277,277,1,"542,493",10807063,SMAN 2 BANDAR LAMPUNG More..,Lampung,Kota Bandar Lampung,SMA
2278,278,20,"542,32",20605093,SMAN 1 KOTA SERANG More..,Banten,Kota Serang,SMA
2279,279,36,"542,257",20580045,MAN 2 Kota Kediri More..,Jawa Timur,Kota Kediri,MA 
2280,280,60,"542,253",20102571,SMAN 66 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2281,281,48,"542,24",20328912,SMA SEMESTA More..,Jawa Tengah,Kota Semarang,SMA
2282,282,37,"542,211",20536288,SMAN 1 PROBOLINGGO More..,Jawa Timur,Kota Probolinggo,SMA
2283,283,4,"542,156",69975889,MAN INSAN CENDEKIA KOTA BATAM More..,Kepulauan Riau,Kota Batam ,MA 
2284,284,21,"542,096",20606833,SMAS STRADA ST AQUINO More..,Banten,Kota Tangerang,SMA
2285,285,47,"542,045",20231283,SMAS BUNDA HATI KUDUS More..,Jawa Barat,Kab. Bogor,SMA
2286,286,38,"541,971",69964214,SMA NEGERI TARUNA NALA JAWA TIMUR More..,Jawa Timur,Kota Malang ,SMA
2287,287,39,"541,968",20535464,UPT SMA NEGERI 1 PASURUAN More..,Jawa Timur,Kota Pasuruan,SMA
2288,288,61,"541,904",20102574,SMAN 6 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2289,289,48,"541,715",20252852,SMAS AL KAHFI More..,Jawa Barat,Kab. Bogor,SMA
2290,290,40,"541,706",20501701,SMAN 3 SIDOARJO More..,Jawa Timur,Kab. Sidoarjo,SMA
2291,291,41,"541,698",20536817,SMAN 1 BATU More..,Jawa Timur,Kota Batu,SMA
2292,292,62,"541,539",20103309,SMAN 58 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2293,293,63,"541,505",20101623,SMAN 19 JAKARTA More..,DKI Jakarta,Kota Jakarta Barat,SMA
2294,294,26,"541,497",20402778,SMA NEGERI 2 WATES More..,DI Yogyakarta,Kab. Kulon Progo,SMA
2295,295,5,"541,488",50102079,SMAN 1 GIANYAR More..,Bali,Kab. Gianyar,SMA
2296,296,49,"541,479",20231312,SMAS MADANIA More..,Jawa Barat,Kab. Bogor,SMA
2297,297,22,"541,401",20606516,SMAS MUTIARA BANGSA More..,Banten,Kota Tangerang,SMA
2298,298,1,"541,33",50204503,SMA NEGERI 1 MATARAM More..,Nusa Tenggara Barat,Kota Mataram,SMA
2299,299,23,"541,272",69754032,SMAS INSAN CENDEKIA MADANI More..,Banten,Kota Tangerang Selatan,SMA
2300,300,27,"541,131",20403145,SMAS STELLA DUCE 1 More..,DI Yogyakarta,Kota Yogyakarta,SMA
2301,301,1,"540,957",69756117,SMAS AL - AZHAR MANDIRI PALU More..,Sulawesi Tengah,Kota Palu,SMA
2302,302,50,"540,94",20219795,SMAS KALAM KUDUS More..,Jawa Barat,Kota Bandung,SMA
2303,303,42,"540,925",20549721,SMAS AL HIKMAH SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
2304,304,28,"540,924",20400390,SMA NEGERI 1 KASIHAN More..,DI Yogyakarta,Kab. Bantul,SMA
2305,305,49,"540,833",20307714,SMAN 1 KOTA MUNGKID More..,Jawa Tengah,Kab. Magelang,SMA
2306,306,43,"540,794",20532247,SMAN 4 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
2307,307,51,"540,774",20220324,SMAS BPK PENABUR More..,Jawa Barat,Kota Bogor,SMA
2308,308,50,"540,699",20327987,SMAS REGINA PACIS SURAKARTA More..,Jawa Tengah,Kota Surakarta,SMA
2309,309,51,"540,498",20324216,SMAN 1 PEMALANG More..,Jawa Tengah,Kab. Pemalang,SMA
2310,310,64,"540,417",20103298,SMAN 44 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2311,311,52,"540,267",69968020,SMA AL AZHAR SYIFA BUDI PARAHYANGAN More..,Jawa Barat,Kab. Bandung Barat ,SMA
2312,312,52,"540,13",20314885,SMAN 1 BLORA More..,Jawa Tengah,Kab. Blora,SMA
2313,313,24,"540,067",20603349,SMAS K ORA ET LABORA BSD More..,Banten,Kota Tangerang Selatan,SMA
2314,314,53,"539,901",20276323,MAS NUURUL QUR AN More..,Jawa Barat,Kab. Bogor,MA 
2315,315,65,"539,838",20101301,SMAS REGINA PACIS More..,DKI Jakarta,Kota Jakarta Barat,SMA
2316,316,66,"539,798",20102219,SMAN 109 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2317,317,54,"539,747",20258396,SMAS IT AS-SYIFA BOARDING SCHOOL More..,Jawa Barat,Kab. Subang,SMA
2318,318,29,"539,742",20407427,SMK SMTI More..,DI Yogyakarta,Kota Yogyakarta,SMK
2319,319,1,"539,706",10702412,SMAN 5 BENGKULU More..,Bengkulu,Kota Bengkulu,SMA
2320,320,53,"539,59",20327970,SMAN 5 SURAKARTA More..,Jawa Tengah,Kota Surakarta,SMA
2321,321,55,"539,582",20247152,SMAS INSAN CENDEKIA  AL KAUSAR More..,Jawa Barat,Kab. Sukabumi,SMA
2322,322,44,"539,574",20510150,SMAN 1 PONOROGO More..,Jawa Timur,Kab. Ponorogo,SMA
2323,323,45,"539,483",20542500,SMA NEGERI 1 TRENGGALEK More..,Jawa Timur,Kab. Trenggalek,SMA
2324,324,2,"539,446",40311951,SMAN 17 MAKASSAR More..,Sulawesi Selatan,Kota Makassar,SMA
2325,325,46,"539,435",69857710,SMA TRENSAINS TEBUIRENG More..,Jawa Timur,Kab. Jombang,SMA
2326,326,54,"539,341",20315697,SMA NEGERI 1 REMBANG More..,Jawa Tengah,Kab. Rembang,SMA
2327,327,56,"539,281",20223075,SMAS MARSUDIRINI More..,Jawa Barat,Kota Bekasi,SMA
2328,328,67,"539,235",20103257,SMAN 98 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2329,329,47,"539,211",20532244,SMAN 11 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
2330,330,68,"539,176",20103310,SMAN 54 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2331,331,5,"539,113",69941598,MAN INSAN CENDEKIA SIAK More..,Riau,Kab. Siak ,MA 
2332,332,57,"539,047",20219253,SMAN 20 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
2333,333,25,"539,014",20603368,SMAN 3 KOTA TANGERANG SELATAN More..,Banten,Kota Tangerang Selatan,SMA
2334,334,48,"538,967",20532263,SMAN 9 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
2335,335,30,"538,934",20400406,SMA NEGERI 1 BANGUNTAPAN More..,DI Yogyakarta,Kab. Bantul,SMA
2336,336,55,"538,849",20310414,SMAS KRISTEN KALAM KUDUS SUKOHARJO More..,Jawa Tengah,Kab. Sukoharjo,SMA
2337,337,9,"538,555",10261532,SMA UNGGULAN CT FOUNDATION More..,Sumatera Utara,Kab. Deli Serdang,SMA
2338,338,58,"538,517",20219241,SMAN 12 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
2339,339,56,"538,492",20350718,SMAS IT IHSANUL FIKRI MUNGKID More..,Jawa Tengah,Kab. Magelang,SMA
2340,340,2,"538,46",69978966,MAN INSAN CENDEKIA LOMBOK TIMUR More..,Nusa Tenggara Barat,Kab. Lombok Timur ,MA 
2341,341,49,"538,409",20533640,SMAN 8 More..,Jawa Timur,Kota Malang,SMA
2342,342,57,"538,355",20327564,SMAN 3 MAGELANG More..,Jawa Tengah,Kota Magelang,SMA
2343,343,10,"538,264",10263528,SMAS NASIONAL PLUS CINTABUDAYA / CHONG WEN More..,Sumatera Utara,Kab. Deli Serdang,SMA
2344,344,2,"538,139",10807561,SMAN 1 METRO More..,Lampung,Kota Metro,SMA
2345,345,69,"538,033",69955414,SMA EMIISc Jakarta More..,DKI Jakarta,Kota Jakarta Timur,SMA
2346,346,58,"537,663",20328892,SMA NEGERI 06 More..,Jawa Tengah,Kota Semarang,SMA
2347,347,70,"537,647",20100186,SMAS KRISTEN 2 BPK PENABUR More..,DKI Jakarta,Kota Jakarta Pusat,SMA
2348,348,31,"537,4",20401130,SMAN 1 MLATI More..,DI Yogyakarta,Kab. Sleman,SMA
2349,349,10,"537,371",10310795,SMAN 3 PAINAN More..,Sumatera Barat,Kab. Pesisir Selatan,SMA
2350,350,59,"537,321",20318343,SMA NEGERI 1 JEPARA More..,Jawa Tengah,Kab. Jepara,SMA
2351,351,3,"537,309",69765089,SMAS ISLAM ATHIRAH More..,Sulawesi Selatan,Kab. Bone,SMA
2352,352,71,"537,216",20102216,SMAN 3 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2353,353,50,"537,206",20580089,MAN 1 KOTA MALANG More..,Jawa Timur,Kota Malang,MA 
2354,354,3,"537,117",30304597,SMAN 1 BANJARBARU More..,Kalimantan Selatan,Kota Banjarbaru,SMA
2355,355,51,"537,087",20534389,SMAN 1 KEDIRI More..,Jawa Timur,Kota Kediri,SMA
2356,356,52,"536,994",20527233,SMAN 1 PAMEKASAN More..,Jawa Timur,Kab. Pamekasan,SMA
2357,357,59,"536,915",20224124,SMA SANTA MARIA 3 More..,Jawa Barat,Kota Cimahi,SMA
2358,358,3,"536,835",30105074,SMA KATOLIK SANTU PETRUS PONTIANAK More..,Kalimantan Barat,Kota Pontianak,SMA
2359,359,53,"536,732",20502727,SMAN 1 SOOKO More..,Jawa Timur,Kab. Mojokerto,SMA
2360,360,6,"536,724",10496495,SMA DHARMA LOKA More..,Riau,Kota Pekanbaru,SMA
2361,361,54,"536,713",20532087,SMAS SANTA MARIA More..,Jawa Timur,Kota Surabaya,SMA
2362,362,60,"536,708",20305025,SMAN 2 KEBUMEN More..,Jawa Tengah,Kab. Kebumen,SMA
2363,363,61,"536,694",69929336,SMA SCIENCE PLUS BAITUL QURAN BOARDING SCHOOL More..,Jawa Tengah,Kab. Sragen ,SMA
2364,364,62,"536,654",20328449,SMAN 3 SALATIGA More..,Jawa Tengah,Kota Salatiga,SMA
2365,365,63,"536,561",20331915,SMAS THERESIANA 1 More..,Jawa Tengah,Kota Semarang,SMA
2366,366,7,"536,552",10498812,MAN 2 PEKANBARU More..,Riau,Kota Pekanbaru,MA 
2367,367,60,"536,447",20219271,SMAN 1 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
2368,368,64,"536,326",20322744,SMA NEGERI 1 BATANG More..,Jawa Tengah,Kab. Batang,SMA
2369,369,61,"536,185",20265518,SMAS ALFA CENTAURI More..,Jawa Barat,Kota Bandung,SMA
2370,370,2,"536,042",10111885,SMA TEUKU NYAK ARIF FATIH BILINGUAL SCHOOL More..,Aceh,Kota Banda Aceh,SMA
2371,371,1,"536,032",40103174,SMAS LOKON ST NIKOLAUS TOMOHON More..,Sulawesi Utara,Kota Tomohon,SMA
2372,372,55,"535,926",69859740,SMA ISLAM SABILILLAH More..,Jawa Timur,Kota Malang,SMA
2373,373,26,"535,922",20603342,SMAS ISLAM AL-AZHAR BSD More..,Banten,Kota Tangerang Selatan,SMA
2374,374,27,"535,908",20606814,SMAN 8 TANGERANG More..,Banten,Kota Tangerang,SMA
2375,375,62,"535,825",20200681,SMAN 1 CILEUNGSI More..,Jawa Barat,Kab. Bogor,SMA
2376,376,63,"535,808",20276416,SMAS LABSCHOOL CIBUBUR More..,Jawa Barat,Kota Bekasi,SMA
2377,377,6,"535,79",10601344,SMAN 4 LAHAT More..,Sumatera Selatan,Kab. Lahat,SMA
2378,378,65,"535,717",20313048,SMAN 1 GEMOLONG More..,Jawa Tengah,Kab. Sragen,SMA
2380,379,11,"535,591",69862591,SMA N 2 SUMATERA BARAT More..,Sumatera Barat,Kab. Solok,SMA
2379,380,28,"535,591",20603371,SMAS PLUS PEMBANGUNAN JAYA More..,Banten,Kota Tangerang Selatan,SMA
2381,381,7,"535,587",10603858,SMA NEGERI 17 PALEMBANG More..,Sumatera Selatan,Kota Palembang,SMA
2382,382,64,"535,5",20253130,SMAS IT AL BINA More..,Jawa Barat,Kab. Bekasi,SMA
2383,383,66,"535,488",20306176,SMAN 2 PURWOREJO More..,Jawa Tengah,Kab. Purworejo,SMA
2384,384,56,"535,485",20511011,SMAN 1 PACITAN More..,Jawa Timur,Kab. Pacitan,SMA
2385,385,3,"535,422",10807024,SMA S AL KAUTSAR  More..,Lampung,Kota Bandar Lampung,SMA
2386,386,67,"535,394",20328913,SMA SEDES SAPIENTIAE More..,Jawa Tengah,Kota Semarang,SMA
2387,387,72,"535,337",P2965978,PKBM Windsor More..,DKI Jakarta,Kota Jakarta Pusat,PKBM
2388,388,65,"535,307",20219784,SMAS PELITA BANGSA More..,Jawa Barat,Kota Bandung,SMA
2389,389,66,"535,258",20219265,SMAS ST MARIA 1 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
2390,390,67,"535,167",20277214,MAS HUSNUL KHOTIMAH More..,Jawa Barat,Kab. Kuningan,MA 
2391,391,57,"535,096",20509318,SMAN 1 MAGETAN More..,Jawa Timur,Kab. Magetan,SMA
2392,392,68,"535,072",20200885,SMAN 1 CIBINONG More..,Jawa Barat,Kab. Bogor,SMA
2393,393,32,"535,038",20363283,MAS MUALLIMAAT MUHAMMADIYAH More..,DI Yogyakarta,Kota Yogyakarta,MA 
2394,394,58,"534,991",20540060,SMAS KRISTEN PETRA 4 More..,Jawa Timur,Kab. Sidoarjo,SMA
2395,395,59,"534,979",20525856,SMAN 1 GLAGAH More..,Jawa Timur,Kab. Banyuwangi,SMA
2396,396,8,"534,939",69816324,SMA IT AL BAYYINAH More..,Riau,Kota Pekanbaru,SMA
2397,397,68,"534,732",20320387,SMA NEGERI 1 AMBARAWA More..,Jawa Tengah,Kab. Semarang,SMA
2398,398,69,"534,637",20330921,SMA TRENSAINS MUHAMMADIYAH SRAGEN More..,Jawa Tengah,Kab. Sragen,SMA
2399,399,69,"534,596",20219270,SMAS KRIDA NUSANTARA More..,Jawa Barat,Kota Bandung,SMA
2400,400,4,"534,54",10807016,SMA S XAVERIUS BANDAR LAMPUNG More..,Lampung,Kota Bandar Lampung,SMA
