urut_nasional,urut_provinsi,rerata,npsn,sekolah,provinsi,kota_kab,jenis
602,15,"524,183",10303610,SMAN 2 PADANG PANJANG More..,Sumatera Barat,Kota Padang Panjang,SMA
603,9,"524,179",30401787,SMAS YAYASAN PENDIDIKAN VIDYA DAHANA PATRA More..,Kalimantan Timur,Kota Bontang,SMA
604,92,"524,16",20533661,SMAN 10 More..,Jawa Timur,Kota Malang,SMA
605,95,"524,143",20103299,SMAN 89 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
606,7,"524,122",10504684,SMAN 1 KOTA JAMBI More..,Jambi,Kota Jambi,SMA
607,96,"524,12",20102566,SMAN 82 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
608,39,"524,093",20613768,SMAN 6 KOTA TANGERANG SELATAN More..,Banten,Kota Tangerang Selatan,SMA
609,9,"523,751",10600905,SMAN 1 UNGGULAN MUARA ENIM More..,Sumatera Selatan,Kab. Muara Enim,SMA
610,97,"523,749",20103784,SMKN 48 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMK
611,93,"523,693",20533638,SMAS KATOLIK COR YESU More..,Jawa Timur,Kota Malang,SMA
612,98,"523,69",20102573,SMAN 60 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
613,103,"523,623",20331978,SMAN 2 MAGELANG More..,Jawa Tengah,Kota Magelang,SMA
614,94,"523,596",20540294,SMA DARUL ULUM 2 UNGGULAN BPPT More..,Jawa Timur,Kab. Jombang,SMA
615,119,"523,581",20224136,SMK NEGERI 1 CIMAHI More..,Jawa Barat,Kota Cimahi,SMK
616,104,"523,567",20363060,MAN 1 SURAKARTA More..,Jawa Tengah,Kota Surakarta,MA 
617,95,"523,524",20504478,SMAN 2 BOJONEGORO More..,Jawa Timur,Kab. Bojonegoro,SMA
618,105,"523,486",20320385,SMA NEGERI 1 BRINGIN More..,Jawa Tengah,Kab. Semarang,SMA
619,106,"523,458",20363211,MAS AL IRSYAD More..,Jawa Tengah,Kab. Semarang,MA 
620,120,"523,415",20219306,SMAN 6 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
621,16,"523,347",10303905,SMAN 2 PAYAKUMBUH More..,Sumatera Barat,Kota Payakumbuh,SMA
622,99,"523,252",20103291,SMAN 104 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
623,121,"523,104",20231317,SMAS MARSUDIRINI More..,Jawa Barat,Kab. Bogor,SMA
624,100,"523,1",20109513,SMAS HIGH SCOPE More..,DKI Jakarta,Kota Jakarta Selatan,SMA
625,122,"523,042",20219250,SMAN 22 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
626,17,"523,033",10302476,SMAN 1 BATU SANGKAR More..,Sumatera Barat,Kab. Tanah Datar,SMA
627,4,"522,953",30304468,SMAS KRISTEN KANAAN More..,Kalimantan Selatan,Kota Banjarmasin,SMA
628,123,"522,946",20231704,SMAS ANANDA More..,Jawa Barat,Kota Bekasi,SMA
629,124,"522,906",20270492,SMAN 8 DEPOK More..,Jawa Barat,Kota Depok,SMA
630,40,"522,852",20603270,SMAN 4 KOTA TANGERANG SELATAN More..,Banten,Kota Tangerang Selatan,SMA
631,101,"522,841",20102211,SMAN 43 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
632,43,"522,759",20400380,SMA NEGERI 2 BANGUNTAPAN More..,DI Yogyakarta,Kab. Bantul,SMA
633,107,"522,728",20328939,SMA NEGERI 09 More..,Jawa Tengah,Kota Semarang,SMA
634,102,"522,673",20103258,SMAN 93 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
635,125,"522,649",20258092,SMAS MUTIARA BUNDA More..,Jawa Barat,Kota Bandung,SMA
636,5,"522,522",30304598,SMAN 2 BANJARBARU More..,Kalimantan Selatan,Kota Banjarbaru,SMA
637,108,"522,501",20300727,SMA NEGERI 3 CILACAP More..,Jawa Tengah,Kab. Cilacap,SMA
638,126,"522,499",20220273,SMKN 1 BOGOR More..,Jawa Barat,Kota Bogor,SMK
639,44,"522,466",60724851,SMAS MUHAMMADIYAH BOARDING SCHOOL (MBS) SLEMAN More..,DI Yogyakarta,Kab. Sleman,SMA
640,96,"522,458",69965070,SMA TAZKIA IIBS More..,Jawa Timur,Kab. Malang ,SMA
641,97,"522,396",20532088,SMAS KATOLIK ST CAROLUS More..,Jawa Timur,Kota Surabaya,SMA
642,45,"522,347",20402810,SMA NEGERI 1 PENGASIH More..,DI Yogyakarta,Kab. Kulon Progo,SMA
643,12,"522,297",69765014,SMAS ALBANNA More..,Bali,Kota Denpasar,SMA
644,6,"522,229",30304260,SMAN 7 BANJARMASIN More..,Kalimantan Selatan,Kota Banjarmasin,SMA
645,6,"522,11",10805055,SMAN 1 PRINGSEWU More..,Lampung,Kab. Pringsewu,SMA
646,46,"522,028",20400416,SMK NEGERI 1 BANTUL More..,DI Yogyakarta,Kab. Bantul,SMK
647,7,"522,018",11000433,SMAN 1 TANJUNG PINANG More..,Kepulauan Riau,Kota Tanjungpinang,SMA
648,47,"522,011",20363269,MAS ISLAMIC CENTRE BIN BAZ More..,DI Yogyakarta,Kab. Bantul,MA 
649,103,"521,96",20100211,SMAN 4 JAKARTA More..,DKI Jakarta,Kota Jakarta Pusat,SMA
650,13,"521,94",50103181,SMAS K SANTO YOSEPH DENPASAR More..,Bali,Kota Denpasar,SMA
651,109,"521,89",20361201,SMAS INSAN CENDIKIA AL-MUJTABA More..,Jawa Tengah,Kab. Sukoharjo,SMA
652,5,"521,836",10900452,SMKN 1 TANJUNGPANDAN More..,Kepulauan Bangka Belitung,Kab. Belitung,SMK
653,98,"521,773",20523828,SMAN AMBULU More..,Jawa Timur,Kab. Jember,SMA
654,110,"521,723",20327608,SMKN 1 MAGELANG More..,Jawa Tengah,Kota Magelang,SMK
655,14,"521,7",10400870,SMAS CENDANA MANDAU More..,Riau,Kab. Bengkalis,SMA
656,111,"521,688",20309690,SMAN 3 KLATEN More..,Jawa Tengah,Kab. Klaten,SMA
657,99,"521,68",20507733,SMAN 1 MEJAYAN More..,Jawa Timur,Kab. Madiun,SMA
658,112,"521,657",20320369,SMA NEGERI 1 SURUH More..,Jawa Tengah,Kab. Semarang,SMA
659,113,"521,654",20330330,SMKN 1 GOMBONG More..,Jawa Tengah,Kab. Kebumen,SMK
660,16,"521,613",10206580,SMAN 1 MATAULI PANDAN More..,Sumatera Utara,Kab. Tapanuli Tengah,SMA
661,127,"521,597",20200686,SMAS DWI WARNA More..,Jawa Barat,Kab. Bogor,SMA
662,128,"521,567",69774555,SMA ISLAM AL-AZHAR 8 More..,Jawa Barat,Kota Bekasi,SMA
663,48,"521,52",69965701,SMAIT ABU BAKAR BOARDING SCHOOL KULON PROGO More..,DI Yogyakarta,Kab. Kulon Progo ,SMA
664,7,"521,517",10807070,SMAN 9 BANDAR LAMPUNG More..,Lampung,Kota Bandar Lampung,SMA
665,129,"521,509",20200685,SMAN 1 CIAWI BOGOR More..,Jawa Barat,Kab. Bogor,SMA
666,130,"521,482",20268809,SMAS IT NURURRAHMAN More..,Jawa Barat,Kota Depok,SMA
667,2,"521,479",69978360,MAN INSAN CENDEKIA BENGKULU TENGAH More..,Bengkulu,Kab. Bengkulu Tengah ,MA 
668,131,"521,454",20223032,SMAN 11 BEKASI More..,Jawa Barat,Kota Bekasi,SMA
669,114,"521,405",20310495,SMAS ASSALAM SUKOHARJO More..,Jawa Tengah,Kab. Sukoharjo,SMA
670,100,"521,359",20529954,SMAN 1 SUMENEP More..,Jawa Timur,Kab. Sumenep,SMA
671,115,"521,354",20307727,SMAN 1 GRABAG More..,Jawa Tengah,Kab. Magelang,SMA
672,104,"521,349",20100780,SMAN 80 JAKARTA More..,DKI Jakarta,Kota Jakarta Utara,SMA
673,116,"521,325",20320244,SMA NEGERI 1 TENGARAN More..,Jawa Tengah,Kab. Semarang,SMA
674,105,"521,316",20107306,SMAS ISLAM AL-AZHAR 3 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
675,106,"521,283",20177948,MAS PEMBANGUNAN UIN More..,DKI Jakarta,Kota Jakarta Selatan,MA 
676,132,"521,275",20221561,SMAN 3 SUKABUMI More..,Jawa Barat,Kota Sukabumi,SMA
677,15,"521,26",10404988,SMAN BINSUS KOTA DUMAI More..,Riau,Kota Dumai,SMA
678,101,"521,178",20532218,SMAN 18 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
679,49,"521,135",20402127,SMAN 2 PLAYEN More..,DI Yogyakarta,Kab. Gunung Kidul,SMA
680,133,"521,107",20231316,SMAS MARDI WALUYA More..,Jawa Barat,Kab. Bogor,SMA
681,117,"521,082",20324218,SMAN 1 COMAL More..,Jawa Tengah,Kab. Pemalang,SMA
682,7,"521,081",40314696,SMKN 11 MAKASSAR More..,Sulawesi Selatan,Kota Makassar,SMK
683,50,"521,069",20402817,SMK N 2 PENGASIH More..,DI Yogyakarta,Kab. Kulon Progo,SMK
684,41,"521,068",20606829,SMAN 7 TANGERANG More..,Banten,Kota Tangerang,SMA
685,102,"521,063",20535052,SMAN 3 BLITAR More..,Jawa Timur,Kota Blitar,SMA
686,103,521,20577343,SMAS AR-ROHMAH PUTRI BOARDING SCHOOL DAU More..,Jawa Timur,Kab. Malang,SMA
687,10,"520,992",30401786,SMAN 1 BONTANG More..,Kalimantan Timur,Kota Bontang,SMA
688,118,"520,949",20363221,MAS PPMI ASSALAAM More..,Jawa Tengah,Kab. Sukoharjo,MA 
689,119,"520,94",20330332,SMKN 1 KEBUMEN More..,Jawa Tengah,Kab. Kebumen,SMK
690,120,"520,83",20308442,SMAN 1 SIMO More..,Jawa Tengah,Kab. Boyolali,SMA
691,121,"520,79",20303231,SMAN 1 BOBOTSARI More..,Jawa Tengah,Kab. Purbalingga,SMA
692,14,"520,784",50100843,SMAN 1 NEGARA More..,Bali,Kab. Jembrana,SMA
693,51,"520,69",20403227,SMAS BOPKRI 1 More..,DI Yogyakarta,Kota Yogyakarta,SMA
694,18,"520,682",69964938,SMA NEGERI 3 SUMATERA BARAT More..,Sumatera Barat,Kab. Pasaman ,SMA
695,42,"520,669",69943715,SMA AL ADZKAR More..,Banten,Kota Tangerang Selatan,SMA
696,107,"520,654",20103279,SMAN 9 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
697,52,"520,649",20401125,SMAN 1 SEYEGAN More..,DI Yogyakarta,Kab. Sleman,SMA
698,134,"520,645",69866096,SMA AL MINHAJ More..,Jawa Barat,Kab. Bogor,SMA
699,135,"520,624",20220322,SMAS BINA INSANI More..,Jawa Barat,Kota Bogor,SMA
700,136,"520,61",20224510,SMA Negeri 2 Tasikmalaya More..,Jawa Barat,Kota Tasikmalaya,SMA
701,16,"520,542",10403996,SMAS CENDANA More..,Riau,Kota Pekanbaru,SMA
702,104,"520,458",20510147,SMAN 2 PONOROGO More..,Jawa Timur,Kab. Ponorogo,SMA
703,122,"520,421",20312173,SMAN KARANGPANDAN More..,Jawa Tengah,Kab. Karanganyar,SMA
704,108,"520,404",20100219,SMAN 24 JAKARTA More..,DKI Jakarta,Kota Jakarta Pusat,SMA
705,53,"520,402",20402796,SMA NEGERI 1 SENTOLO More..,DI Yogyakarta,Kab. Kulon Progo,SMA
706,137,"520,372",20220313,SMAS MARDI YUANA More..,Jawa Barat,Kota Bogor,SMA
707,105,"520,361",20522640,SMAN 1 SITUBONDO More..,Jawa Timur,Kab. Situbondo,SMA
708,138,"520,352",20231720,SMAN 14 BEKASI More..,Jawa Barat,Kota Bekasi,SMA
709,106,"520,305",20511953,SMAN 1 PARE More..,Jawa Timur,Kab. Kediri,SMA
710,109,"520,233",20103289,SMAN 106 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
711,123,"520,198",20305013,SMAN 1 KUTOWINANGUN More..,Jawa Tengah,Kab. Kebumen,SMA
712,124,"520,142",20309681,SMAN 1 JOGONALAN More..,Jawa Tengah,Kab. Klaten,SMA
713,139,"520,133",20219316,SMAN 7 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
714,140,"520,118",20219247,SMAN 25 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
715,107,"520,038",20534749,SMAN 2 More..,Jawa Timur,Kota Mojokerto,SMA
716,125,"520,022",20300731,SMA NEGERI 1 MAOS More..,Jawa Tengah,Kab. Cilacap,SMA
717,110,"519,959",20100210,SMAN 5 JAKARTA More..,DKI Jakarta,Kota Jakarta Pusat,SMA
718,126,"519,892",20319280,SMAN 1 DEMAK More..,Jawa Tengah,Kab. Demak,SMA
719,141,"519,836",20263963,SMKN KEHUTANAN KADIPATEN More..,Jawa Barat,Kab. Majalengka,SMK
720,127,"519,824",20314884,SMAN 1 CEPU More..,Jawa Tengah,Kab. Blora,SMA
721,19,"519,818",10300299,SMA NEGERI 1 AMPEK ANGKEK More..,Sumatera Barat,Kab. Agam,SMA
722,128,"519,756",20337795,SMAS IT AL HIKMAH KARANGGEDE More..,Jawa Tengah,Kab. Boyolali,SMA
723,111,"519,737",20103769,SMK CARAKA NUSANTARA More..,DKI Jakarta,Kota Jakarta Timur,SMK
724,129,"519,699",20329508,SMA Negeri 3 Pekalongan More..,Jawa Tengah,Kota Pekalongan,SMA
725,1,"519,607",69767796,SMAS KRISTEN 2 KUPANG More..,Nusa Tenggara Timur,Kota Kupang,SMA
726,130,"519,593",20327586,SMKN 2 MAGELANG More..,Jawa Tengah,Kota Magelang,SMK
727,15,"519,59",P9908600,PKBM HOMESCHOOLING PRIMAGAMA More..,Bali,Kota Denpasar ,PKBM
728,54,"519,534",20402788,SMK NEGERI 1 PENGASIH More..,DI Yogyakarta,Kab. Kulon Progo,SMK
729,108,"519,494",20546529,SMA TARUNA DRA. ZULAEHA More..,Jawa Timur,Kab. Probolinggo,SMA
730,109,"519,493",20517736,SMAN 1 TUMPANG More..,Jawa Timur,Kab. Malang,SMA
731,17,"519,493",10201985,SMA NEGERI 1 KABANJAHE More..,Sumatera Utara,Kab. Karo,SMA
732,110,"519,481",20507726,SMAN 1 GEGER More..,Jawa Timur,Kab. Madiun,SMA
733,131,"519,472",20307710,SMAN 1 SALAMAN More..,Jawa Tengah,Kab. Magelang,SMA
734,142,"519,466",20220341,SMAN 10 BOGOR More..,Jawa Barat,Kota Bogor,SMA
735,55,"519,456",20403157,SMAS MUHAMMADIYAH 1 YOGYAKARTA More..,DI Yogyakarta,Kota Yogyakarta,SMA
736,143,"519,432",20247276,SMAS LAZUARDI GIS More..,Jawa Barat,Kota Depok,SMA
737,112,"519,235",20112433,SMAS JAKARTA ISLAMIC SCHOOL More..,DKI Jakarta,Kota Jakarta Timur,SMA
738,144,"519,147",20229161,SMAS MARDI YUANA PANCORAN MAS More..,Jawa Barat,Kota Depok,SMA
739,145,"519,061",20219246,SMAN 19 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
740,56,"519,007",20363282,MAN 2 YOGYAKARTA More..,DI Yogyakarta,Kota Yogyakarta,MA 
741,111,"519,004",20515450,SMAN 1 BOYOLANGU More..,Jawa Timur,Kab. Tulungagung,SMA
742,146,"518,924",20219240,SMAN 13 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
743,112,"518,914",20525855,SMAN 1 GIRI More..,Jawa Timur,Kab. Banyuwangi,SMA
744,132,"518,843",20363001,MAS WATHONIYAH ISLAMIYAH KARANGDUWUR More..,Jawa Tengah,Kab. Kebumen,MA 
745,133,"518,817",20363090,MAS NU BANAT KUDUS More..,Jawa Tengah,Kab. Kudus,MA 
746,147,"518,771",20213893,SMAN 1 MAJALENGKA More..,Jawa Barat,Kab. Majalengka,SMA
747,43,"518,759",69961248,SMA IT PUTRI AL HANIF More..,Banten,Kota Cilegon ,SMA
748,134,"518,751",20328898,SMA NEGERI 15 More..,Jawa Tengah,Kota Semarang,SMA
749,18,"518,714",10211702,SMAN 4 PEMATANG SIANTAR More..,Sumatera Utara,Kota Pematangsiantar,SMA
750,113,"518,709",20521711,SMAN 2 BONDOWOSO More..,Jawa Timur,Kab. Bondowoso,SMA
751,135,"518,634",20325279,SMAN 3 SLAWI More..,Jawa Tengah,Kab. Tegal,SMA
752,136,"518,567",69897124,SMA ISLAM AL AZHAR 14 More..,Jawa Tengah,Kota Semarang,SMA
753,148,"518,534",20224112,SMA NEGERI 5 CIMAHI More..,Jawa Barat,Kota Cimahi,SMA
754,137,"518,506",69894827,Tahfizh Nurul Iman More..,Jawa Tengah,Kab. Karanganyar ,MA 
755,114,"518,505",20501703,SMAN 1 WARU More..,Jawa Timur,Kab. Sidoarjo,SMA
756,138,"518,493",20328891,SMA NEGERI 07 More..,Jawa Tengah,Kota Semarang,SMA
757,7,"518,462",60725447,SMAS GIBS More..,Kalimantan Selatan,Kab. Barito Kuala,SMA
758,57,"518,46",20407372,SMAS TERPADU BINA UMAT More..,DI Yogyakarta,Kab. Sleman,SMA
759,139,"518,459",20317501,SMAN 2 KUDUS More..,Jawa Tengah,Kab. Kudus,SMA
760,140,"518,39",20329845,SMAN 3 TEGAL More..,Jawa Tengah,Kota Tegal,SMA
761,19,"518,311",10263550,SMAN 2 LINTONGNIHUTA More..,Sumatera Utara,Kab. Humbang Hasudutan,SMA
762,141,"518,239",20363035,MAN SALATIGA More..,Jawa Tengah,Kota Salatiga,MA 
763,115,"518,18",20501862,SMAN 1 GEDANGAN More..,Jawa Timur,Kab. Sidoarjo,SMA
764,113,"518,053",20101585,SMAN 94 JAKARTA More..,DKI Jakarta,Kota Jakarta Barat,SMA
765,149,"518,006",20218356,SMAN 1 CIKARANG UTARA More..,Jawa Barat,Kab. Bekasi,SMA
766,142,"517,958",69829549,SMA SYUBBANUL WATHON More..,Jawa Tengah,Kota Jakarta Selatan,SMA
767,150,"517,944",20222311,SMAN 6 CIREBON More..,Jawa Barat,Kota Cirebon,SMA
768,8,"517,899",30300239,SMAN 1 MARTAPURA More..,Kalimantan Selatan,Kab. Banjar,SMA
769,151,"517,892",20203739,SMAN 1 CIANJUR More..,Jawa Barat,Kab. Cianjur,SMA
770,143,"517,888",20328398,SMAS KRISTEN 1 SIDOMUKTI More..,Jawa Tengah,Kota Salatiga,SMA
771,9,"517,843",30304280,SMAN 1 BANJARMASIN More..,Kalimantan Selatan,Kota Banjarmasin,SMA
772,144,"517,839",20313028,SMAN 2 SRAGEN More..,Jawa Tengah,Kab. Sragen,SMA
773,116,"517,758",20519303,SMAN 1 BANGIL More..,Jawa Timur,Kab. Pasuruan,SMA
774,16,"517,751",50102568,SMAN 1 BANGLI More..,Bali,Kab. Bangli,SMA
775,58,"517,657",20363271,MAS ALI MAKSUM More..,DI Yogyakarta,Kab. Bantul,MA 
776,114,"517,553",20102210,SMAN 46 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
777,59,"517,478",20400389,SMA NEGERI 3 BANTUL More..,DI Yogyakarta,Kab. Bantul,SMA
778,17,"517,467",50103120,SMAN 7 DENPASAR More..,Bali,Kota Denpasar,SMA
779,145,"517,444",20302168,SMAN 4 PURWOKERTO More..,Jawa Tengah,Kab. Banyumas,SMA
780,115,"517,429",20109516,SMAS INTERNATIONAL ISLAMIC HIGH SCHOOL (IIHS) More..,DKI Jakarta,Kota Jakarta Selatan,SMA
781,146,"517,388",20327979,SMAS MTA SURAKARTA More..,Jawa Tengah,Kota Surakarta,SMA
782,116,"517,321",20100212,SMAN 35 JAKARTA More..,DKI Jakarta,Kota Jakarta Pusat,SMA
783,147,"517,314",20363083,MAS MAAHID More..,Jawa Tengah,Kab. Kudus,MA 
784,152,"517,22",20221590,SMAS MARDI YUANA More..,Jawa Barat,Kota Sukabumi,SMA
785,60,"517,194",20403151,SMAS BUDYA WACANA More..,DI Yogyakarta,Kota Yogyakarta,SMA
786,6,"517,109",10901003,SMAN 1 MANGGAR More..,Kepulauan Bangka Belitung,Kab. Belitung Timur,SMA
787,61,"517,099",20401160,SMAN 1 GAMPING More..,DI Yogyakarta,Kab. Sleman,SMA
788,3,"517,073",69766210,SMAN 10 KAUR (PENTAGON) More..,Bengkulu,Kab. Kaur,SMA
789,117,"517,052",20107322,SMAS PANGUDI LUHUR JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
790,117,"516,894",20534383,SMAN 7 KEDIRI More..,Jawa Timur,Kota Kediri,SMA
791,153,"516,836",20237987,SMAN 1 CIKARANG PUSAT More..,Jawa Barat,Kab. Bekasi,SMA
792,118,"516,832",20532261,SMAN 7 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
793,119,"516,825",20533639,SMAN 7 More..,Jawa Timur,Kota Malang,SMA
794,148,"516,759",20332522,SMA KRISTEN TERANG BANGSA More..,Jawa Tengah,Kota Semarang,SMA
795,149,"516,686",20303246,SMAN 2 PURBALINGGA More..,Jawa Tengah,Kab. Purbalingga,SMA
796,1,"516,641",30201848,SMAN 1 PANGKALAN BUN More..,Kalimantan Tengah,Kab. Kotawaringin Barat,SMA
797,62,"516,637",P9908270,PKBM HOME SCHOOLING PRIMAGAMA More..,DI Yogyakarta,Kota Yogyakarta,PKBM
798,154,"516,614",20252020,SMA IIBS More..,Jawa Barat,Kab. Bekasi,SMA
799,8,"516,534",69830525,SMA KEBANGSAAN More..,Lampung,Kab. Lampung Selatan,SMA
800,155,"516,517",20215991,SMAN 1 SINDANG More..,Jawa Barat,Kab. Indramayu,SMA
