urut_nasional,urut_provinsi,rerata,npsn,sekolah,provinsi,kota_kab,jenis
801,63,"516,459",69946713,SMA ISLAM AL AZHAR 9 YOGYAKARTA More..,DI Yogyakarta,Kab. Sleman ,SMA
802,44,"516,404",20606289,SMAN 1 CILEGON More..,Banten,Kota Cilegon,SMA
803,150,"516,403",20310418,SMAN 1 TAWANGSARI More..,Jawa Tengah,Kab. Sukoharjo,SMA
804,11,"516,389",69761840,SMAS Islam Bunga Bangsa More..,Kalimantan Timur,Kota Samarinda,SMA
805,64,"516,374",20400373,SMA NEGERI 1 SANDEN More..,DI Yogyakarta,Kab. Bantul,SMA
806,151,"516,314",20306811,SMK NEGERI 1 WONOSOBO More..,Jawa Tengah,Kab. Wonosobo,SMK
807,65,"516,295",20403182,SMAS BOPKRI 2 More..,DI Yogyakarta,Kota Yogyakarta,SMA
808,118,"516,276",69967066,SMAIT Buahati Islamic School More..,DKI Jakarta,Kota Jakarta Timur,SMA
809,20,"516,272",10303781,SMAN 1 SOLOK More..,Sumatera Barat,Kota Solok,SMA
810,156,"516,266",20219720,SMAS DARUL HIKAM BANDUNG More..,Jawa Barat,Kota Bandung,SMA
811,152,"516,245",20306172,SMAN 6 PURWOREJO More..,Jawa Tengah,Kab. Purworejo,SMA
812,120,"516,217",20532243,SMAN 10 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
813,153,"516,2",20302183,SMAN 1 JATILAWANG More..,Jawa Tengah,Kab. Banyumas,SMA
814,4,"516,062",10107309,SMAS FATIH BILINGUAL SCHOOL More..,Aceh,Kota Banda Aceh,SMA
815,121,"516,053",20584134,MAN 1 BLITAR More..,Jawa Timur,Kab. Blitar,MA 
816,154,"516,039",20320241,SMA NEGERI 2 UNGARAN More..,Jawa Tengah,Kab. Semarang,SMA
817,66,"516,02",20403280,SMKN 2 YOGYAKARTA More..,DI Yogyakarta,Kota Yogyakarta,SMK
818,155,"515,978",20300732,SMA NEGERI 1 MAJENANG More..,Jawa Tengah,Kab. Cilacap,SMA
819,5,"515,925",30105466,SMAN 3 SINGKAWANG More..,Kalimantan Barat,Kota Singkawang,SMA
820,156,"515,865",69943795,SMA Islam Al Azhar 15 More..,Jawa Tengah,Kota Semarang,SMA
821,157,"515,862",20277242,MAS PUTRI PUI TALAGA More..,Jawa Barat,Kab. Majalengka,MA 
822,67,"515,842",20403295,SMKN 7 YOGYAKARTA More..,DI Yogyakarta,Kota Yogyakarta,SMK
823,3,"515,74",50204515,SMAN 5 MATARAM More..,Nusa Tenggara Barat,Kota Mataram,SMA
824,21,"515,723",10307309,SMAN 1 PARIAMAN More..,Sumatera Barat,Kota Pariaman,SMA
825,157,"515,681",20318318,SMK NEGERI 3 JEPARA More..,Jawa Tengah,Kab. Jepara,SMK
826,158,"515,678",20312172,SMAN KEBAKKRAMAT More..,Jawa Tengah,Kab. Karanganyar,SMA
827,22,"515,664",10303467,SMAS DON BOSCO More..,Sumatera Barat,Kota Padang,SMA
828,159,"515,639",20362931,MAN 1 JEPARA More..,Jawa Tengah,Kab. Jepara,MA 
829,18,"515,638",50102366,SMAN 1 SEMARAPURA More..,Bali,Kab. Klungkung,SMA
830,119,"515,603",20107289,SMA CHARITAS More..,DKI Jakarta,Kota Jakarta Selatan,SMA
831,122,"515,591",20532146,SMAS KATOLIK STELLA MARIS More..,Jawa Timur,Kota Surabaya,SMA
832,68,"515,501",20407373,SMKS INDONESIA YOGYAKARTA More..,DI Yogyakarta,Kota Yogyakarta,SMK
833,123,"515,489",20538394,SMAN 1 KERTOSONO More..,Jawa Timur,Kab. Nganjuk,SMA
834,2,"515,453",69980514,MAN INSAN CENDEKIA KOTA PALU More..,Sulawesi Tengah,Kota Palu ,MA 
835,12,"515,401",30401058,SMA Negeri 3 Samarinda More..,Kalimantan Timur,Kota Samarinda,SMA
836,120,"515,353",20100223,SMAN 27 JAKARTA More..,DKI Jakarta,Kota Jakarta Pusat,SMA
837,121,"515,343",20103300,SMAN 88 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
838,160,"515,314",20301902,SMKS TELEKOMUNIKASI SANDHY PUTRA PURWOKERTO More..,Jawa Tengah,Kab. Banyumas,SMK
839,45,"515,301",20603346,SMAS ISLAMIC VILLAGE More..,Banten,Kab. Tangerang,SMA
840,122,"515,289",20103305,SMAN 64 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
841,17,"515,268",10404015,SMA NEGERI 4 PEKANBARU More..,Riau,Kota Pekanbaru,SMA
842,158,"515,217",20219257,SMAN 10 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
843,9,"515,198",10807030,SMA S FRANSISCUS More..,Lampung,Kota Bandar Lampung,SMA
844,23,"515,185",10307525,SMAN 3 BUKITTINGGI More..,Sumatera Barat,Kota Bukittinggi,SMA
845,8,"515,124",69814064,SMAS KRISTEN 2 RANTEPAO More..,Sulawesi Selatan,Kab. Toraja Utara,SMA
846,69,"515,085",20402116,SMAN 1 SEMIN More..,DI Yogyakarta,Kab. Gunung Kidul,SMA
847,10,"514,999",30315550,MAN 2 HULU SUNGAI UTARA More..,Kalimantan Selatan,Kab. Hulu Sungai Utara,MA 
848,70,"514,964",20404175,SMAS PANGUDI LUHUR More..,DI Yogyakarta,Kota Yogyakarta,SMA
849,161,"514,963",20309526,SMKN 2 KLATEN More..,Jawa Tengah,Kab. Klaten,SMK
850,24,"514,897",10263753,MAS KMI DINIYAH PUTERI More..,Sumatera Barat,Kota Padang Panjang,MA 
851,162,"514,877",20311331,SMAN 2 WONOGIRI More..,Jawa Tengah,Kab. Wonogiri,SMA
852,13,"514,865",30401066,SMA Negeri 1 Samarinda More..,Kalimantan Timur,Kota Samarinda,SMA
853,25,"514,858",10307524,SMAN 2 BUKITTINGGI More..,Sumatera Barat,Kota Bukittinggi,SMA
854,159,"514,702",20257102,SMAS IT THORIQ BIN ZIYAD More..,Jawa Barat,Kab. Bekasi,SMA
855,123,"514,693",20103312,SMAN 51 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
856,124,"514,675",20103287,SMAN 11 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
857,163,"514,663",20318337,SMA NEGERI 1 WELAHAN More..,Jawa Tengah,Kab. Jepara,SMA
858,7,"514,621",10900238,SMAN 1 BELINYU More..,Kepulauan Bangka Belitung,Kab. Bangka,SMA
859,71,"514,616",20403146,SMAS STELLA DUCE 2 More..,DI Yogyakarta,Kota Yogyakarta,SMA
860,164,"514,6",20300729,SMA NEGERI 1 SIDAREJA More..,Jawa Tengah,Kab. Cilacap,SMA
861,165,"514,591",20326490,SMAN 1 BUMIAYU More..,Jawa Tengah,Kab. Brebes,SMA
862,1,"514,583",30401697,SMAN 1 TARAKAN More..,Kalimantan Utara,Kota Tarakan,SMA
863,125,"514,575",20177928,MAN 13 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,MA 
864,8,"514,568",11000382,SMKN 1 BATAM More..,Kepulauan Riau,Kota Batam,SMK
865,2,"514,554",60103098,SMAN SIWALIMA AMBON More..,Maluku,Kota Ambon,SMA
866,126,"514,467",20101500,SMKN 42 JAKARTA More..,DKI Jakarta,Kota Jakarta Barat,SMK
867,124,"514,466",20503407,SMA NEGERI NGORO More..,Jawa Timur,Kab. Jombang,SMA
868,125,"514,464",20535465,UPT SMA NEGERI 2 PASURUAN More..,Jawa Timur,Kota Pasuruan,SMA
869,160,"514,427",20221587,SMAS PESANTREN TERPADU HAYATAN THAYYIBAH More..,Jawa Barat,Kota Sukabumi,SMA
870,19,"514,417",50103122,SMAN 5 DENPASAR More..,Bali,Kota Denpasar,SMA
871,46,"514,404",20613785,SMAN 23 KABUPATEN TANGERANG More..,Banten,Kab. Tangerang,SMA
872,161,"514,35",20206227,SMAN 1 CISARUA More..,Jawa Barat,Kab. Bandung Barat,SMA
873,162,"514,349",69874079,SMA REGINA CAELI More..,Jawa Barat,Kab. Bogor,SMA
874,126,"514,292",20503415,SMA NEGERI 1 JOMBANG More..,Jawa Timur,Kab. Jombang,SMA
875,166,"514,274",20339022,SMA NEGERI 1 TAYU More..,Jawa Tengah,Kab. Pati,SMA
876,72,"514,22",20401136,SMKN 1 TEMPEL More..,DI Yogyakarta,Kab. Sleman,SMK
877,8,"514,21",10901019,SMAN 1 KELAPA KAMPIT More..,Kepulauan Bangka Belitung,Kab. Belitung Timur,SMA
878,20,"514,184",50103126,SMAN 2 DENPASAR More..,Bali,Kota Denpasar,SMA
879,127,"514,088",20101604,SMAN 57 JAKARTA More..,DKI Jakarta,Kota Jakarta Barat,SMA
880,3,"514,077",40203776,SMAN MODEL TERPADU MADANI More..,Sulawesi Tengah,Kota Palu,SMA
881,127,"514,009",20534408,SMKN 2 KEDIRI More..,Jawa Timur,Kota Kediri,SMK
882,163,"513,993",20219775,SMAS PLUS MUTHAHHARI More..,Jawa Barat,Kota Bandung,SMA
883,128,"513,891",69856217,SMA PEMBANGUNAN JAYA 2 More..,Jawa Timur,Kab. Sidoarjo,SMA
884,164,"513,848",20219141,SMKN 7 BANDUNG More..,Jawa Barat,Kota Bandung,SMK
885,165,"513,842",20219235,SMAN 17 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
886,129,"513,838",20580048,MAN 2 KOTA MADIUN More..,Jawa Timur,Kota Madiun,MA 
887,73,"513,784",20401128,SMAN 1 NGEMPLAK More..,DI Yogyakarta,Kab. Sleman,SMA
888,130,"513,774",20501700,SMAN 4 SIDOARJO More..,Jawa Timur,Kab. Sidoarjo,SMA
889,14,"513,714",30401785,SMAN 2 BONTANG More..,Kalimantan Timur,Kota Bontang,SMA
890,128,"513,701",20101621,SMAN 23 JAKARTA More..,DKI Jakarta,Kota Jakarta Barat,SMA
891,167,"513,65",20326488,SMAN 1 BREBES More..,Jawa Tengah,Kab. Brebes,SMA
892,166,"513,606",20270720,SMAS ISLAM HASMI More..,Jawa Barat,Kab. Bogor,SMA
893,6,"513,589",69976449,MAN INSAN CENDEKIA SAMBAS More..,Kalimantan Barat,Kab. Sambas,MA 
894,74,"513,535",20401193,SMKN 1 DEPOK More..,DI Yogyakarta,Kab. Sleman,SMK
895,75,"513,476",20400374,SMA NEGERI 1 PUNDONG More..,DI Yogyakarta,Kab. Bantul,SMA
896,131,"513,472",20580301,MAS MUHAMMADIYAH 1 JEMBER More..,Jawa Timur,Kab. Jember,MA 
897,4,"513,421",50202522,SMAN 1 SELONG More..,Nusa Tenggara Barat,Kab. Lombok Timur,SMA
898,168,"513,392",20331830,SMKS FARMASI NASIONAL SURAKARTA More..,Jawa Tengah,Kota Surakarta,SMK
899,169,"513,357",20318339,SMA NEGERI 1 PECANGAAN More..,Jawa Tengah,Kab. Jepara,SMA
900,170,"513,224",20328448,SMAN 2 SALATIGA More..,Jawa Tengah,Kota Salatiga,SMA
901,132,"513,197",20534308,SMAS AR RISALAH More..,Jawa Timur,Kota Kediri,SMA
902,76,"513,158",20401137,SMKN 1 GODEAN More..,DI Yogyakarta,Kab. Sleman,SMK
903,133,"513,141",20532167,SMAS LUQMAN AL HAKIM More..,Jawa Timur,Kota Surabaya,SMA
904,7,"513,092",30101943,SMAN 1 SANGGAU More..,Kalimantan Barat,Kab. Sanggau,SMA
905,18,"513,026",10403425,SMAN 1 TUALANG More..,Riau,Kab. Siak,SMA
906,171,"513,014",20328460,SMKN 2 SALATIGA More..,Jawa Tengah,Kota Salatiga,SMK
907,9,"512,963",40307392,SMAN 5 MAKASSAR More..,Sulawesi Selatan,Kota Makassar,SMA
908,4,"512,95",10700669,SMAN 1 REJANG LEBONG More..,Bengkulu,Kab. Rejang Lebong,SMA
909,172,"512,941",20330335,SMKN 2 KEBUMEN More..,Jawa Tengah,Kab. Kebumen,SMK
910,167,"512,935",20280328,MAS PERSIS TAROGONG More..,Jawa Barat,Kab. Garut,MA 
911,47,"512,904",20623275,MAN 2 KOTA SERANG More..,Banten,Kota Serang,MA 
912,129,"512,892",20103280,SMAN 36 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
913,134,"512,844",20523826,SMAN 4 JEMBER More..,Jawa Timur,Kab. Jember,SMA
914,168,"512,835",20200601,SMAN 1 LEUWILIANG More..,Jawa Barat,Kab. Bogor,SMA
915,15,"512,818",30401059,SMA Negeri 2 Samarinda More..,Kalimantan Timur,Kota Samarinda,SMA
916,10,"512,778",10609706,SMA XAVERIUS 03 PALEMBANG More..,Sumatera Selatan,Kota Palembang,SMA
917,169,"512,765",20208419,SMAN 1 SUMEDANG More..,Jawa Barat,Kab. Sumedang,SMA
918,130,"512,751",20100779,SMAN 75 JAKARTA More..,DKI Jakarta,Kota Jakarta Utara,SMA
919,170,"512,75",20206208,SMAN 1 PADALARANG More..,Jawa Barat,Kab. Bandung Barat,SMA
920,48,"512,728",69893966,SMA GLOBAL ISLAMIC SCHOOL 2 More..,Banten,Kota Tangerang Selatan ,SMA
921,171,"512,707",20251793,SMAN 1 CILEUNYI More..,Jawa Barat,Kab. Bandung,SMA
922,26,"512,659",10303504,SMAN 7 PADANG More..,Sumatera Barat,Kota Padang,SMA
923,49,"512,656",20603164,SMAS DAAR EL QOLAM More..,Banten,Kab. Tangerang,SMA
924,173,"512,631",20325258,SMKN 1 SLAWI More..,Jawa Tengah,Kab. Tegal,SMK
925,20,"512,529",10219919,SMAS HARAPAN 3 DELI TUA More..,Sumatera Utara,Kab. Deli Serdang,SMA
926,172,"512,519",20223068,SMAS PANGUDI LUHUR II More..,Jawa Barat,Kota Bekasi,SMA
927,135,"512,502",20584790,MAN 2 TULUNGAGUNG More..,Jawa Timur,Kab. Tulungagung,MA 
928,19,"512,496",10497348,SMK KEHUTANAN NEGERI PEKANBARU More..,Riau,Kota Pekanbaru,SMK
929,173,"512,495",20219237,SMAN 16 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
930,136,"512,366",20541242,SMAN 1 SUMBERREJO More..,Jawa Timur,Kab. Bojonegoro,SMA
931,50,"512,282",69859757,SMA INSAN RABBANY More..,Banten,Kota Tangerang Selatan,SMA
932,77,"512,275",20402089,SMKN 2 WONOSARI More..,DI Yogyakarta,Kab. Gunung Kidul,SMK
933,174,"512,203",20338920,SMK NEGERI 1 SRAGI More..,Jawa Tengah,Kab. Pekalongan,SMK
934,137,"512,183",60726350,SMAS PLUS AL FATIMAH More..,Jawa Timur,Kab. Bojonegoro,SMA
935,131,"512,152",20177927,MAN 7 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,MA 
936,138,"512,148",20519328,SMAS AL - MA HADUL ISLAMI BEJI More..,Jawa Timur,Kab. Pasuruan,SMA
937,11,"512,142",10603865,SMA NEGERI 01 PALEMBANG More..,Sumatera Selatan,Kota Palembang,SMA
938,51,"512,137",20606271,SMAN 2 KRAKATAU STEEL CILEGON More..,Banten,Kota Cilegon,SMA
939,139,"512,111",20520821,SMAN 1 LUMAJANG More..,Jawa Timur,Kab. Lumajang,SMA
940,140,"512,099",20584211,MAN 1 MALANG More..,Jawa Timur,Kab. Malang,MA 
941,175,"512,056",20362426,SMAS ISLAM AL-AZHAR SOLO BARU More..,Jawa Tengah,Kab. Sukoharjo,SMA
942,174,"512,043",20276187,SMAN 9 DEPOK More..,Jawa Barat,Kota Depok,SMA
943,132,"512,024",20103282,SMAN 22 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
944,27,"512,021",10307616,SMKN ANALIS KIMIA PADANG More..,Sumatera Barat,Kota Padang,SMK
945,176,"511,95",20330346,SMAS AL ISLAM 1 SURAKARTA More..,Jawa Tengah,Kota Surakarta,SMA
946,175,"511,945",69954194,SMA ISLAM AL - AZHAR 18 GRAND WISATA More..,Jawa Barat,Kab. Bekasi,SMA
947,177,"511,899",20312189,SMAN 2 KARANGANYAR More..,Jawa Tengah,Kab. Karanganyar,SMA
948,178,"511,884",20314864,SMKN 2 BLORA More..,Jawa Tengah,Kab. Blora,SMK
949,141,"511,811",20580038,MAN KOTA BATU More..,Jawa Timur,Kota Batu,MA 
950,133,"511,799",20102565,SMAN 86 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
951,179,"511,794",20308441,SMAN 1 TERAS More..,Jawa Tengah,Kab. Boyolali,SMA
952,142,"511,771",20537011,SMAN 1 KEBOMAS More..,Jawa Timur,Kab. Gresik,SMA
953,143,"511,765",20538321,SMAN 1 NGANJUK More..,Jawa Timur,Kab. Nganjuk,SMA
954,176,"511,728",20280140,MAS DARUL MARHAMAH More..,Jawa Barat,Kab. Bogor,MA 
955,5,"511,721",10102744,SMAN UNGGUL TAPAKTUAN More..,Aceh,Kab. Aceh Selatan,SMA
956,10,"511,706",40306507,SMAS KRISTEN BARANA More..,Sulawesi Selatan,Kab. Toraja Utara,SMA
957,20,"511,62",10401526,SMAN 1 RENGAT More..,Riau,Kab. Indragiri Hulu,SMA
958,134,"511,54",20107589,SMAS GLOBAL ISLAMIC SCHOOL More..,DKI Jakarta,Kota Jakarta Timur,SMA
959,8,"511,502",30105462,SMAS SANTO IGNASIUS SINGKAWANG More..,Kalimantan Barat,Kota Singkawang,SMA
960,180,"511,502",20364919,MAS WATHONIYAH ISLAMIYAH KEBARONGAN More..,Jawa Tengah,Kab. Banyumas,MA 
961,78,"511,438",20401129,SMAN 1 NGAGLIK More..,DI Yogyakarta,Kab. Sleman,SMA
962,135,"511,424",20101499,SMKN 45 JAKARTA More..,DKI Jakarta,Kota Jakarta Barat,SMK
963,144,"511,367",20532238,SMAN 14 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
964,177,"511,31",20227827,SMA TERPADU BAITURRAHMAN More..,Jawa Barat,Kab. Bandung,SMA
965,10,"511,307",10801972,SMAS SUGAR GROUP B MATARAM More..,Lampung,Kab. Lampung Tengah,SMA
966,5,"511,293",50201391,SMAN 1 PRAYA More..,Nusa Tenggara Barat,Kab. Lombok Tengah,SMA
967,136,"511,28",20102579,SMKN 6 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMK
968,145,"511,254",20525600,SMAN 2 GENTENG More..,Jawa Timur,Kab. Banyuwangi,SMA
969,178,"511,228",20219233,SMAN 26 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
970,137,"511,222",20102215,SMAN 32 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
971,11,"511,222",30300697,SMAN 1 PELAIHARI More..,Kalimantan Selatan,Kab. Tanah Laut,SMA
972,179,"511,219",69857938,SMAN 12 KOTA DEPOK More..,Jawa Barat,Kota Depok,SMA
973,146,"511,218",20537286,SMKN 1 BOYOLANGU More..,Jawa Timur,Kab. Tulungagung,SMK
974,181,"511,194",20323503,SMA NEGERI 1 WIRADESA More..,Jawa Tengah,Kab. Pekalongan,SMA
975,138,"511,135",69977033,SMA Islam Al Azhar 19 More..,DKI Jakarta,Kota Jakarta Timur ,SMA
976,182,"511,107",20321835,SMAN 1 SUKOREJO More..,Jawa Tengah,Kab. Kendal,SMA
977,79,"511,081",20400375,SMA NEGERI 1 PLERET More..,DI Yogyakarta,Kab. Bantul,SMA
978,180,"511,075",69830492,SMA SULTHON AULIA BOARDING SCHOOL More..,Jawa Barat,Kota Bekasi,SMA
979,183,"511,031",20339018,SMA NEGERI 1 JAKENAN More..,Jawa Tengah,Kab. Pati,SMA
980,184,"511,01",20315660,SMK NEGERI 1 REMBANG More..,Jawa Tengah,Kab. Rembang,SMK
981,147,"510,989",20554539,SMAS BRAWIJAYA SMART SCHOOL More..,Jawa Timur,Kota Malang,SMA
982,148,"510,942",20532211,SMKN 5 SURABAYA More..,Jawa Timur,Kota Surabaya,SMK
983,139,"510,922",20103791,SMKN 10 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMK
984,185,"510,873",20321974,SMAN 1 BOJA More..,Jawa Tengah,Kab. Kendal,SMA
985,186,"510,856",20327971,SMAN 6 SURAKARTA More..,Jawa Tengah,Kota Surakarta,SMA
986,140,"510,856",20103313,SMAN 50 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
987,11,"510,826",40311889,SMAN 2 MAKASSAR More..,Sulawesi Selatan,Kota Makassar,SMA
988,149,"510,71",20533610,SMAS LABORATORIUM UM More..,Jawa Timur,Kota Malang,SMA
989,80,"510,666",20411874,SMA ALI MAKSUM More..,DI Yogyakarta,Kab. Bantul,SMA
990,187,"510,625",20311332,SMAN 1 WURYANTORO More..,Jawa Tengah,Kab. Wonogiri,SMA
991,150,"510,62",20527237,SMAN 3 PAMEKASAN More..,Jawa Timur,Kab. Pamekasan,SMA
992,21,"510,618",10498808,MAN 1 PEKANBARU More..,Riau,Kota Pekanbaru,MA 
993,141,"510,589",20107305,SMA ISLAM AL-AZHAR 2 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
994,12,"510,575",30315148,MAN 1 TAPIN More..,Kalimantan Selatan,Kab. Tapin,MA 
995,21,"510,536",10210743,SMAS KRISTEN KALAM KUDUS More..,Sumatera Utara,Kota Medan,SMA
996,21,"510,532",50105600,MAN 1 JEMBRANA More..,Bali,Kab. Jembrana,MA 
997,151,"510,524",20542523,SMK NEGERI 1 POGALAN More..,Jawa Timur,Kab. Trenggalek,SMK
998,181,"510,518",20220337,SMAN 8 BOGOR More..,Jawa Barat,Kota Bogor,SMA
999,182,"510,514",20238003,SMAS AL - MUSLIM More..,Jawa Barat,Kab. Bekasi,SMA
1000,52,"510,509",20606846,SMAN 4 TANGERANG More..,Banten,Kota Tangerang,SMA
